EEID,Full Name,Job Title,Department,Business Unit,Age,Gender,Ethnicity,City,Country,Hire Date,Exit Date,Annual Salary,Bonus %
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,44,Female,Latino,Austin,United States,12/18/2008,6/24/2021,$92753,13% 
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,45,Male,Black,Seattle,United States,8/7/2013,,$236946,37% 
E03824,Penelope Coleman,Analyst,Finance,Corporate,36,Female,Black,Miami,United States,8/27/2021,,$48906,0% 
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,38,Female,Caucasian,Columbus,United States,1/27/2008,,$80024,0% 
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,41,Female,Caucasian,Seattle,United States,10/23/2009,1/22/2014,$54415,0% 
E04798,Aurora Ali,Manager,Marketing,Research & Development,30,Female,Asian,Seattle,United States,4/24/2016,,$120341,7% 
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,43,Female,Latino,Seattle,United States,8/4/2009,,$208415,35% 
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,32,Female,Asian,Seattle,United States,1/5/2020,,$78844,0% 
E02966,William Foster,Field Engineer,Engineering,Manufacturing,58,Male,Caucasian,Phoenix,United States,5/23/2002,9/26/2021,$76354,0% 
E01499,Jade Rojas,Director,Finance,Speciality Products,37,Female,Latino,Phoenix,United States,1/28/2019,,$165927,20% 
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,38,Female,Latino,Manaus,Brazil,11/16/2021,,$109812,9% 
E00665,David Chu,Controls Engineer,Engineering,Corporate,55,Male,Asian,Seattle,United States,9/3/1998,,$86299,0% 
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,57,Male,Latino,Sao Paulo,Brazil,7/26/2003,,$206624,40% 
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,36,Male,Latino,Sao Paulo,Brazil,12/23/2010,3/27/2014,$53215,0% 
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,30,Female,Asian,Chongqing,China,5/22/2017,10/8/2017,$86858,0% 
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,40,Male,Asian,Chongqing,China,7/2/2007,,$93971,8% 
E00254,Samuel Morales,Analyst II,Finance,Corporate,34,Male,Latino,Phoenix,United States,6/27/2015,,$57008,0% 
E02166,John Soto,Sr. Manger,Finance,Manufacturing,60,Male,Latino,Phoenix,United States,9/23/2015,,$141899,15% 
E00935,Joseph Martin,Analyst II,Marketing,Corporate,41,Male,Black,Miami,United States,9/13/2016,,$64847,0% 
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,53,Male,Caucasian,Miami,United States,4/8/1992,,$116878,11% 
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,45,Male,Black,Austin,United States,2/5/2005,,$70505,0% 
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,30,Female,Latino,Manaus,Brazil,5/22/2016,12/21/2020,$189702,28% 
E03383,Lincoln Hall,Director,Accounting,Speciality Products,26,Male,Caucasian,Chicago,United States,7/28/2020,,$180664,27% 
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,45,Female,Asian,Chengdu,China,12/17/2003,,$48345,0% 
E01234,Jack Cheng,Director,Human Resources,Manufacturing,42,Male,Asian,Beijing,China,1/16/2014,,$152214,30% 
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,41,Female,Latino,Manaus,Brazil,4/28/2009,,$69803,0% 
E00431,Eliza Hernandez,Network Architect,IT,Corporate,48,Female,Latino,Rio de Janerio,Brazil,7/4/2019,,$76588,0% 
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,29,Male,Caucasian,Miami,United States,12/10/2018,,$84596,0% 
E00440,Jack Huynh,Manager,Marketing,Research & Development,27,Male,Asian,Chongqing,China,9/25/2018,12/22/2019,$114441,10% 
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,33,Female,Asian,Beijing,China,4/21/2018,,$140402,15% 
E00972,Amelia Salazar,Analyst II,Finance,Corporate,26,Female,Latino,Sao Paulo,Brazil,4/23/2019,,$59817,0% 
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,31,Male,Asian,Austin,United States,7/22/2017,,$55854,0% 
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,53,Male,Asian,Seattle,United States,11/16/2002,,$95998,0% 
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,34,Female,Asian,Phoenix,United States,4/22/2015,,$154941,13% 
E04568,Rylee Yu,Vice President,Finance,Speciality Products,54,Female,Asian,Beijing,China,7/10/2011,,$247022,30% 
E04931,Zoe Romero,Network Architect,IT,Manufacturing,32,Female,Latino,Sao Paulo,Brazil,10/5/2021,,$88072,0% 
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,28,Male,Asian,Shanghai,China,5/26/2020,,$67925,8% 
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,31,Female,Caucasian,Austin,United States,8/20/2020,,$219693,30% 
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,45,Female,Caucasian,Seattle,United States,4/22/2013,,$61773,0% 
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,48,Female,Asian,Seattle,United States,1/9/2007,,$74546,9% 
E04959,Noah King,Development Engineer,Engineering,Speciality Products,56,Male,Black,Miami,United States,1/27/2015,,$62575,0% 
E03816,Leilani Chow,Director,Human Resources,Corporate,27,Female,Asian,Beijing,China,2/23/2021,,$199041,16% 
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,55,Male,Caucasian,Miami,United States,4/5/2007,10/12/2018,$52310,0% 
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,64,Male,Black,Columbus,United States,6/29/2013,,$159571,10% 
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,50,Female,Latino,Austin,United States,10/23/1997,,$91763,0% 
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,51,Female,Caucasian,Austin,United States,12/22/1995,,$96475,0% 
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,36,Male,Caucasian,Columbus,United States,12/2/2016,,$113781,0% 
E00691,Ezekiel Desai,Director,Finance,Research & Development,42,Male,Asian,Seattle,United States,1/15/2003,,$166599,26% 
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,41,Female,Asian,Shanghai,China,2/15/2005,,$95372,0% 
E04903,Skylar Liu,Director,IT,Research & Development,29,Female,Asian,Chengdu,China,8/9/2020,,$161203,15% 
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,44,Female,Caucasian,Miami,United States,12/13/2006,,$74738,0% 
E02850,Evelyn Dinh,Director,Sales,Research & Development,41,Female,Asian,Columbus,United States,8/10/2018,,$171173,21% 
E03583,Brooks Marquez,Vice President,Sales,Corporate,61,Male,Latino,Chicago,United States,9/24/2019,,$201464,37% 
E02017,Connor Joseph,Director,Human Resources,Corporate,50,Male,Caucasian,Chicago,United States,7/22/1998,,$174895,15% 
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,49,Female,Asian,Austin,United States,4/18/2006,,$134486,14% 
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,60,Female,Latino,Manaus,Brazil,2/24/2007,,$71699,0% 
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,42,Female,Latino,Seattle,United States,1/2/2021,,$94430,0% 
E02872,Liam Jung,Manager,Finance,Corporate,39,Male,Asian,Chengdu,China,1/14/2010,,$103504,7% 
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,55,Female,Asian,Miami,United States,8/9/2005,,$92771,0% 
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,39,Female,Latino,Columbus,United States,4/6/2006,,$71531,0% 
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,28,Male,Black,Chicago,United States,3/6/2019,,$90304,0% 
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,65,Female,Caucasian,Columbus,United States,9/7/2011,,$104903,10% 
E00013,Elena Vang,Analyst,Finance,Corporate,52,Female,Asian,Beijing,China,2/19/2019,,$55859,0% 
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,62,Female,Latino,Austin,United States,10/12/2006,,$79785,0% 
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,39,Female,Asian,Beijing,China,11/5/2007,,$99017,0% 
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,63,Female,Caucasian,Phoenix,United States,4/1/1992,,$53809,0% 
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,27,Male,Asian,Chengdu,China,4/16/2020,,$71864,0% 
E01095,Isla Lai,Vice President,Finance,Corporate,37,Female,Asian,Shanghai,China,12/6/2011,,$225558,33% 
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,37,Male,Caucasian,Miami,United States,2/25/2014,5/1/2021,$128984,12% 
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,46,Male,Latino,Sao Paulo,Brazil,6/20/1999,,$96997,0% 
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,54,Female,Latino,Austin,United States,1/22/2018,,$176294,28% 
E03849,Evelyn Jung,Analyst,Sales,Research & Development,30,Female,Asian,Beijing,China,2/14/2021,,$48340,0% 
E02464,Sophie Silva,Vice President,Engineering,Corporate,28,Female,Latino,Rio de Janerio,Brazil,7/6/2017,,$240488,40% 
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,40,Male,Caucasian,Austin,United States,1/22/2011,,$97339,0% 
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,49,Female,Asian,Chongqing,China,2/28/2003,,$211291,37% 
E02783,Levi Mendez,Vice President,Sales,Research & Development,39,Male,Latino,Rio de Janerio,Brazil,8/23/2011,,$249506,30% 
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,61,Male,Asian,Chongqing,China,11/22/2002,,$80950,0% 
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,46,Female,Asian,Chengdu,China,1/10/2021,,$86538,0% 
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,35,Female,Caucasian,Austin,United States,9/7/2019,,$70992,0% 
E01425,Anthony Rogers,Vice President,Engineering,Corporate,33,Male,Caucasian,Columbus,United States,6/18/2015,,$205314,30% 
E00130,Paisley Kang,Vice President,Human Resources,Corporate,61,Female,Asian,Beijing,China,3/10/2017,,$196951,33% 
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,45,Male,Asian,Beijing,China,9/18/2005,,$67686,0% 
E03567,Silas Chavez,Technical Architect,IT,Research & Development,51,Male,Latino,Columbus,United States,4/15/2008,,$86431,0% 
E04682,Colton Thao,Manager,Human Resources,Manufacturing,55,Male,Asian,Chongqing,China,11/16/1995,,$125936,8% 
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,46,Female,Caucasian,Columbus,United States,7/18/2013,,$149712,14% 
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,30,Male,Caucasian,Seattle,United States,10/2/2021,,$88758,0% 
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,54,Male,Asian,Beijing,China,7/13/2013,,$83639,0% 
E00521,Lily Carter,Network Architect,IT,Research & Development,54,Female,Caucasian,Phoenix,United States,5/18/1998,,$68268,0% 
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,45,Male,Latino,Sao Paulo,Brazil,2/26/2002,,$75819,0% 
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,49,Female,Caucasian,Phoenix,United States,5/15/1996,,$86658,0% 
E04449,Miles Hsu,Analyst II,Finance,Research & Development,55,Male,Asian,Chengdu,China,3/16/2014,,$74552,0% 
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,62,Female,Asian,Miami,United States,3/15/2009,,$82839,0% 
E00816,Skylar Watson,Network Architect,IT,Speciality Products,28,Female,Caucasian,Phoenix,United States,10/8/2021,,$64475,0% 
E02283,Jaxon Park,Network Architect,IT,Manufacturing,33,Male,Asian,Chengdu,China,7/24/2020,,$69453,0% 
E04888,Elijah Henry,Manager,IT,Corporate,32,Male,Caucasian,Miami,United States,1/3/2014,,$127148,10% 
E03907,Camila Watson,Vice President,Finance,Speciality Products,32,Female,Caucasian,Austin,United States,1/2/2018,,$190253,33% 
E02166,Lucas Thomas,Manager,Accounting,Research & Development,55,Male,Caucasian,Miami,United States,4/28/2000,,$115798,5% 
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,58,Female,Asian,Seattle,United States,8/21/1994,12/13/2013,$93102,0% 
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,34,Male,Asian,Miami,United States,11/16/2017,,$110054,15% 
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,27,Female,Black,Chicago,United States,1/28/2021,,$95786,0% 
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,61,Male,Latino,Sao Paulo,Brazil,5/3/2017,,$90855,0% 
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,47,Male,Latino,Sao Paulo,Brazil,3/14/1999,,$92897,0% 
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,40,Male,Asian,Chongqing,China,2/28/2009,,$242919,31% 
E02942,Daniel Richardson,Director,Engineering,Speciality Products,30,Male,Caucasian,Austin,United States,5/20/2018,,$184368,29% 
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,45,Male,Latino,Phoenix,United States,12/24/2021,,$144754,15% 
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,30,Female,Caucasian,Austin,United States,12/18/2016,,$89458,0% 
E00085,Isla Wong,Vice President,Accounting,Corporate,56,Female,Asian,Austin,United States,3/16/2014,,$190815,40% 
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,62,Female,Caucasian,Austin,United States,8/2/1999,,$137995,14% 
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,45,Female,Latino,Manaus,Brazil,12/21/2007,,$93840,0% 
E04618,Mason Zhao,Technical Architect,IT,Research & Development,46,Male,Asian,Chongqing,China,10/26/2021,,$94790,0% 
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,48,Male,Asian,Austin,United States,3/8/2014,,$197367,39% 
E00568,Ava Garza,Director,Accounting,Manufacturing,27,Female,Latino,Phoenix,United States,6/25/2018,,$174097,21% 
E00535,Nathan Mendez,Manager,IT,Speciality Products,53,Male,Latino,Austin,United States,10/31/2006,,$120128,10% 
E04630,Maria Griffin,Manager,Marketing,Manufacturing,59,Female,Caucasian,Miami,United States,4/25/2007,,$129708,5% 
E00874,Alexander Choi,Manager,Marketing,Research & Development,55,Male,Asian,Chicago,United States,9/18/1994,,$102270,10% 
E01546,Maria Hong,Vice President,Finance,Speciality Products,43,Female,Asian,Chongqing,China,7/31/2005,,$249686,31% 
E00941,Sophie Ali,Analyst,Finance,Manufacturing,55,Female,Asian,Columbus,United States,3/28/2002,,$50475,0% 
E03446,Julian Ross,Manager,Marketing,Research & Development,51,Male,Caucasian,Miami,United States,7/2/2020,,$100099,8% 
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,54,Female,Caucasian,Miami,United States,12/27/2016,,$41673,0% 
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,47,Female,Asian,Chengdu,China,7/12/2017,,$70996,0% 
E03719,Jack Brown,Analyst,Marketing,Corporate,55,Male,Caucasian,Phoenix,United States,12/7/2004,,$40752,0% 
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,50,Female,Asian,Chengdu,China,1/23/2001,,$97537,0% 
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,31,Male,Asian,Shanghai,China,9/12/2020,,$96567,0% 
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,47,Male,Asian,Beijing,China,3/10/1999,,$49404,0% 
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,29,Male,Latino,Rio de Janerio,Brazil,10/15/2019,,$66819,0% 
E02803,Eli Soto,Analyst,Marketing,Speciality Products,38,Male,Latino,Rio de Janerio,Brazil,5/2/2016,,$50784,0% 
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,29,Male,Latino,Sao Paulo,Brazil,5/9/2019,,$125828,15% 
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,33,Male,Caucasian,Columbus,United States,8/4/2017,,$92610,0% 
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,50,Male,Caucasian,Columbus,United States,3/25/2003,,$123405,13% 
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,46,Female,Asian,Beijing,China,3/20/2004,,$73004,0% 
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,57,Male,Asian,Shanghai,China,4/25/1999,,$95061,10% 
E02791,Aubrey Romero,Director,Sales,Corporate,49,Female,Latino,Phoenix,United States,4/2/1998,,$160832,30% 
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,54,Male,Black,Columbus,United States,12/28/2010,,$64417,0% 
E01002,Elias Ali,Manager,Sales,Corporate,28,Male,Asian,Shanghai,China,3/19/2021,,$127543,6% 
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,30,Male,Latino,Sao Paulo,Brazil,6/21/2018,,$56154,0% 
E00752,Luna Liu,Vice President,Sales,Manufacturing,36,Female,Asian,Shanghai,China,2/22/2014,,$218530,30% 
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,36,Female,Latino,Columbus,United States,12/19/2019,,$91954,0% 
E02639,Hadley Parker,Vice President,Marketing,Corporate,30,Female,Black,Columbus,United States,9/21/2016,9/25/2017,$221217,32% 
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,29,Male,Latino,Seattle,United States,5/11/2017,,$87536,0% 
E02183,Sarah Ayala,Analyst,Sales,Corporate,47,Female,Latino,Seattle,United States,6/9/2015,,$41429,0% 
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,35,Male,Asian,Seattle,United States,10/10/2011,,$245482,39% 
E04288,Ella White,Development Engineer,Engineering,Manufacturing,25,Female,Caucasian,Phoenix,United States,1/20/2020,,$71359,0% 
E02421,Jordan Truong,Director,Engineering,Speciality Products,45,Male,Asian,Miami,United States,8/28/2014,,$183161,22% 
E00523,Daniel Jordan,Network Administrator,IT,Corporate,58,Male,Caucasian,Phoenix,United States,7/26/1993,,$69260,0% 
E03615,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,51,Male,Caucasian,Austin,United States,10/9/1999,,$95639,0% 
E02761,Luca Duong,Manager,Human Resources,Research & Development,48,Male,Asian,Chengdu,China,6/30/2004,,$120660,7% 
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,36,Male,Black,Chicago,United States,12/26/2021,,$75119,0% 
E01486,Mason Cho,Vice President,Accounting,Research & Development,59,Male,Asian,Chicago,United States,5/18/2011,,$192213,40% 
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,45,Female,Latino,Sao Paulo,Brazil,5/10/2014,,$65047,0% 
E03027,Elijah Watson,Sr. Manger,Sales,Manufacturing,29,Male,Caucasian,Seattle,United States,3/16/2017,,$151413,15% 
E03689,Wesley Gray,Sr. Analyst,Accounting,Speciality Products,62,Male,Caucasian,Seattle,United States,4/22/2003,,$76906,0% 
E01986,Wesley Sharma,Manager,IT,Corporate,51,Male,Asian,Shanghai,China,2/23/1994,,$122802,5% 
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,47,Male,Latino,Austin,United States,7/14/1998,,$99091,0% 
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,40,Male,Latino,Manaus,Brazil,2/28/2008,,$113987,0% 
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,28,Female,Caucasian,Chicago,United States,9/4/2020,,$95045,0% 
