EmpID,FirstName,LastName,Age,GenderCode,Title,DepartmentType,MonthlySalary,Bonus,AnnualSalary,EmployeeStatus,EmployeeType,WEmail,BusinessUnit,Supervisor,ExitDate,StartDate,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,Division,DOB,State,JobFunctionDescription,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
1778,Cannon,Lee,76,Female,Production Technician I,Production       ,546,66.86,7354.32,Active,Full-Time,Cannon.Lee@mwd.com,NEL,Brandon Mcdonald,,2019-04-24T18:30:00.000Z,Zone B,Full-Time,Unk,,General - Con,18-05-1949,MA,Foreman,91836,Other,Widowed,Fully Meets,3
3153,Jagger,Morgan,31,Female,Production Technician I,Production       ,576,36.77,7353.24,Active,Part-Time,Jagger.Morgan@mwd.com,SVG,Kathleen Johnson,2022-03-10T18:30:00.000Z,2019-11-28T18:30:00.000Z,Zone A,Full-Time,Retirement,Seven trip current difference baby.,Field Operations,13-12-1994,MA,Technician,96230,Other,Single,Fully Meets,4
3877,Oscar,Lopez,49,Male,Network Engineer,Executive Office,567,44.76,7341.12,Active,Part-Time,Oscar.Lopez@mwd.com,MSC,Christian Ortega,2020-04-06T18:30:00.000Z,2018-10-21T18:30:00.000Z,Zone A,Full-Time,Resignation,Increase town serious care support key heavy.,General - Con,21-01-1976,MA,Lineman,81607,Asian,Single,PIP,3
1247,Ashanti,Scott,53,Female,Production Technician I,Production       ,564,47,7332,Active,Part-Time,Ashanti.Scott@mwd.com,EW,Lisa Gonzalez,,2019-03-03T18:30:00.000Z,Zone C,Part-Time,Unk,,Wireless,26-03-1972,MA,Foreman,94026,Other,Single,Fully Meets,3
1793,Linda,Barajas,80,Female,Production Technician I,Production       ,539,71.87,7330.44,Active,Full-Time,Linda.Barajas@mwd.com,BPC,Victor Blair,2022-12-01T18:30:00.000Z,2018-10-22T18:30:00.000Z,Zone B,Temporary,Resignation,Fight cup mean money easy stock stock strategy.,Executive,22-05-1945,MA,Director,77756,Hispanic,Single,Fully Meets,3
1277,Jonas,Hernandez,41,Female,Production Technician II,Production       ,570,40.71,7328.52,Active,Full-Time,Jonas.Hernandez@mwd.com,MSC,Margaret Murphy,,2019-04-10T18:30:00.000Z,Zone C,Part-Time,Unk,,Splicing,10-05-1984,MA,Technician,95565,Other,Single,Fully Meets,3
1642,Julia,Jimenez,79,Female,BI Developer,IT/IS,540,70.43,7325.16,Terminated for Cause,Contract,Julia.Jimenez@mwd.com,PL,Jennifer Davies,2019-12-27T18:30:00.000Z,2019-11-21T18:30:00.000Z,Zone A,Part-Time,Retirement,Nature here wrong why.,Wireline Construction,23-09-1946,MA,Project Manager,9049,Black,Single,Fully Meets,3
2811,Phoenix,Farley,29,Male,Production Technician I,Production       ,574,35.88,7318.56,Active,Part-Time,Phoenix.Farley@mwd.com,PL,David Holt,2020-05-27T18:30:00.000Z,2018-08-12T18:30:00.000Z,Zone A,Full-Time,Voluntary,Material owner together travel so conference.,Field Operations,04-01-1996,MA,Laborer,82960,Hispanic,Widowed,Fully Meets,2
2538,Isaias,Pineda,39,Female,BI Developer,IT/IS,570,39.77,7317.24,Active,Full-Time,Isaias.Pineda@mwd.com,BPC,Ebony Shepard,,2019-09-13T18:30:00.000Z,Zone C,Part-Time,Unk,,Wireline Construction,19-02-1986,MA,Groundman,95322,Hispanic,Single,Fully Meets,5
3058,Amirah,Cline,60,Male,Production Technician I,Production       ,558,51.51,7314.12,Leave of Absence,Part-Time,Amirah.Cline@mwd.com,PYZ,Shelia Goodwin,2020-07-29T18:30:00.000Z,2019-02-10T18:30:00.000Z,Zone A,Temporary,Involuntary,Loss sense above charge part describe.,Yard (Material Handling),19-08-1965,MA,Coordinator,93290,Asian,Divorced,Fully Meets,1
1807,Jeramiah,Schwartz,46,Female,Production Technician I,Production       ,564,42.84,7282.08,Active,Contract,Jeramiah.Schwartz@mwd.com,SVG,Christina Hayden,,2019-09-03T18:30:00.000Z,Zone C,Full-Time,Unk,,Yard (Material Handling),13-11-1979,MA,Lineman,94163,White,Widowed,Fully Meets,3
1156,Francisco,Simon,45,Male,Production Technician I,Production       ,564,42.3,7275.6,Voluntarily Terminated,Contract,Francisco.Simon@mwd.com,PL,Ashley Washington,2023-02-27T18:30:00.000Z,2019-07-21T18:30:00.000Z,Zone A,Full-Time,Voluntary,Science available hard.,Billable Consultants,20-04-1980,MA,Project Manager,94316,Hispanic,Married,Fully Meets,3
